,"Euro Area, FX Spot Rates, Macrobond, EUR per USD","Japan, FX Spot Rates, Macrobond, JPY per USD","United Kingdom, FX Spot Rates, Macrobond, GBP per USD","Switzerland, FX Spot Rates, Macrobond, CHF per USD","Canada, FX Spot Rates, Macrobond, CAD per USD","Australia, FX Spot Rates, Macrobond, AUD per USD","New Zealand, FX Spot Rates, Macrobond, NZD per USD","Norway, FX Spot Rates, Macrobond, NOK per USD","Sweden, FX Spot Rates, Macrobond, SEK per USD","United States, FX Indices, ICE, U.S. Dollar Index, Close"
2001-08-06,1.1358,123.8507,0.7048,1.7123,1.5271,1.9333,2.3892,9.0577,10.4193,116.42
2001-08-07,1.1406,123.79,0.7053,1.7178,1.5336,1.9397,2.391,9.087,10.4528,116.83
2001-08-08,1.1411,123.0807,0.7072,1.7175,1.5312,1.9332,2.3781,9.0771,10.4373,116.54
2001-08-09,1.1252,123.0607,0.7035,1.6959,1.5367,1.9491,2.3604,8.9921,10.3023,115.25
2001-08-10,1.1168,121.8558,0.7009,1.6959,1.5403,1.9432,2.3465,8.9867,10.2647,115.29
2001-08-13,1.113,122.225,0.7033,1.6863,1.5389,1.9337,2.3362,9.0006,10.2597,115.01
2001-08-14,1.1144,121.795,0.7038,1.6902,1.5404,1.9354,2.3381,8.9958,10.2764,114.39
2001-08-15,1.0976,119.93,0.6954,1.6661,1.5308,1.8985,2.3095,8.9024,10.1397,113.19
2001-08-16,1.0956,120.175,0.693,1.6636,1.5305,1.8956,2.297,8.879,10.1693,113.08
2001-08-17,1.091,120.2759,0.6925,1.6568,1.5412,1.8677,2.2706,8.856,10.1737,112.99
2001-08-20,1.0959,120.6759,0.6923,1.6627,1.5457,1.8793,2.2893,8.9046,10.3421,113.4
2001-08-21,1.0958,119.795,0.6906,1.6625,1.548,1.8811,2.2897,8.8789,10.3452,113.29
2001-08-22,1.0858,119.7709,0.6869,1.6504,1.5448,1.8625,2.2527,8.8113,10.2462,113.27
2001-08-23,1.0952,120.175,0.6912,1.6628,1.5429,1.8795,2.2727,8.8987,10.3239,113.09
2001-08-24,1.0953,120,0.6914,1.6642,1.5404,1.8872,2.2808,8.8768,10.2714,113.33
2001-08-27,1.0996,120.065,0.693,1.6707,1.5429,1.8929,2.281,8.8889,10.2958,113.39
2001-08-28,1.0997,120.7,0.6905,1.668,1.5397,1.8945,2.2852,8.8756,10.3159,113.43
2001-08-29,1.0986,119.5,0.6888,1.6676,1.5442,1.8884,2.2655,8.8588,10.3675,113.54
2001-08-30,1.0999,119.9859,0.6899,1.6688,1.5458,1.8817,2.2716,8.8561,10.4287,112.84
2001-08-31,1.1009,119.0009,0.6894,1.669,1.5501,1.9011,2.2882,8.8663,10.4491,113.42
2001-09-03,1.1033,118.755,0.6887,1.6731,1.5516,1.8986,2.2912,8.8601,10.5012,113.67
2001-09-04,1.1227,118.85,0.6915,1.7002,1.5502,1.9165,2.313,8.9069,10.6658,115.68
2001-09-05,1.1256,120.3909,0.6884,1.7012,1.5596,1.9249,2.314,8.9352,10.6741,115.6
2001-09-06,1.1223,121.25,0.6886,1.6977,1.5577,1.9168,2.2991,8.915,10.6147,114.97
2001-09-07,1.1069,120.2109,0.684,1.6773,1.5643,1.9271,2.2948,8.8447,10.5515,114.05
2001-09-10,1.1119,120.9008,0.6857,1.6851,1.5662,1.9519,2.3241,8.8875,10.6246,114.57
2001-09-11,1.102,118.6809,0.6806,1.6564,1.5716,1.9212,2.3134,8.739,10.5708,114.15
2001-09-12,1.1041,119.451,0.6834,1.6608,1.5587,1.934,2.3437,8.8246,10.5712,114.15
2001-09-13,1.101,118.925,0.6808,1.6554,1.5642,1.9425,2.356,8.8,10.5623,114.15
2001-09-14,1.0863,117.29,0.6807,1.6258,1.5663,1.9411,2.3585,8.7375,10.4587,114.15
2001-09-17,1.0877,117.6801,0.6822,1.6158,1.5665,1.9843,2.426,8.7395,10.5308,112.01
2001-09-18,1.0849,117.425,0.6839,1.6062,1.5712,2.018,2.4417,8.6645,10.5571,111.92
2001-09-19,1.0759,117.295,0.6812,1.5917,1.5688,2.0237,2.4331,8.54,10.4608,111.61
2001-09-20,1.0787,116.185,0.6823,1.5908,1.5702,2.0255,2.4272,8.5767,10.5512,111.87
